AbstractKeyword                              : 8356
EqualsExpression                             : 8680
EqualsGreaterThanToken                       : 8269
EqualsKeyword                                : 8431
EqualsToken                                  : 8204
EqualsValueClause                            : 8796
ErrorDirectiveTrivia                         : 8556
ErrorKeyword                                 : 8474
EventDeclaration                             : 8893
EventFieldDeclaration                        : 8874
EventKeyword                                 : 8358
ExclamationEqualsToken                       : 8267
ExclamationToken                             : 8194
ExclusiveOrAssignmentExpression              : 8721
ExclusiveOrExpression                        : 8679
ExplicitInterfaceSpecifier                   : 8871
ExplicitKeyword                              : 8383
ExpressionColon                              : 9069
ExpressionStatement                          : 8797
ExternAliasDirective                         : 8844
ExternKeyword                                : 8359
FalseKeyword                                 : 8324
FalseLiteralExpression                       : 8753
FieldDeclaration                             : 8873
FieldKeyword                                 : 8412
FileKeyword                                  : 8449
FileScopedNamespaceDeclaration               : 8845
FinallyClause                                : 8829
FinallyKeyword                               : 8336
FixedKeyword                                 : 8351
FixedStatement                               : 8814
FloatKeyword                                 : 8314
ForEachKeyword                               : 8329
ForEachStatement                             : 8812
ForEachVariableStatement                     : 8929
ForKeyword                                   : 8328
ForStatement                                 : 8811
FromClause                                   : 8776
FromKeyword                                  : 8422
FunctionPointerCallingConvention             : 9059
FunctionPointerParameter                     : 9057
FunctionPointerParameterList                 : 9058
FunctionPointerType                          : 9056
FunctionPointerUnmanagedCallingConvention    : 9067
FunctionPointerUnmanagedCallingConventionList: 9066
GenericName                                  : 8618
GetAccessorDeclaration                       : 8896
GetKeyword                                   : 8417
GlobalKeyword                                : 8408
GlobalStatement                              : 8841
GotoCaseStatement                            : 8801
GotoDefaultStatement                         : 8802
GotoKeyword                                  : 8338
GotoStatement                                : 8800
GreaterThanEqualsToken                       : 8273
GreaterThanExpression                        : 8684
GreaterThanGreaterThanEqualsToken            : 8275
GreaterThanGreaterThanGreaterThanEqualsToken : 8287
GreaterThanGreaterThanGreaterThanToken       : 8286
GreaterThanGreaterThanToken                  : 8274
GreaterThanOrEqualExpression                 : 8685
GreaterThanToken                             : 8217
GroupClause                                  : 8785
GroupKeyword                                 : 8423
HashToken                                    : 8220
HiddenKeyword                                : 8477
IdentifierName                               : 8616
IdentifierToken                              : 8508
IfDirectiveTrivia                            : 8548
IfKeyword                                    : 8325
IfStatement                                  : 8819
ImplicitArrayCreationExpression              : 8652
ImplicitElementAccess                        : 8656
ImplicitKeyword                              : 8384
ImplicitObjectCreationExpression             : 8659
ImplicitStackAllocArrayCreationExpression    : 9053
IncompleteMember                             : 8916
IndexerDeclaration                           : 8894
IndexerMemberCref                            : 8600
IndexExpression                              : 8741
InitAccessorDeclaration                      : 9060
InitKeyword                                  : 8443
InKeyword                                    : 8362
InterfaceDeclaration                         : 8857
InterfaceKeyword                             : 8376
InternalKeyword                              : 8345
InterpolatedMultiLineRawStringStartToken     : 9073
InterpolatedRawStringEndToken                : 9074
InterpolatedSingleLineRawStringStartToken    : 9072
InterpolatedStringEndToken                   : 8483
InterpolatedStringExpression                 : 8655
InterpolatedStringStartToken                 : 8482
InterpolatedStringText                       : 8919
InterpolatedStringTextToken                  : 8517
InterpolatedStringToken                      : 8515
InterpolatedVerbatimStringStartToken         : 8484
Interpolation                                : 8918
InterpolationAlignmentClause                 : 8920
InterpolationFormatClause                    : 8921
IntKeyword                                   : 8309
IntoKeyword                                  : 8425
InvocationExpression                         : 8634
IsExpression                                 : 8686
IsKeyword                                    : 8363
IsPatternExpression                          : 8657
JoinClause                                   : 8778
JoinIntoClause                               : 8779
JoinKeyword                                  : 8424
LabeledStatement                             : 8799
LeftShiftAssignmentExpression                : 8723
LeftShiftExpression                          : 8673
LessThanEqualsToken                          : 8270
LessThanExpression                           : 8682
LessThanLessThanEqualsToken                  : 8272
LessThanLessThanToken                        : 8271
LessThanOrEqualExpression                    : 8683
LessThanSlashToken                           : 8233
LessThanToken                                : 8215
LetClause                                    : 8777
LetKeyword                                   : 8426
LineDirectivePosition                        : 9070
LineDirectiveTrivia                          : 8558
LineKeyword                                  : 8475
LineSpanDirectiveTrivia                      : 9071
List                                         : 1   
ListPattern                                  : 9035
LoadDirectiveTrivia                          : 8923
LoadKeyword                                  : 8485
LocalDeclarationStatement                    : 8793
LocalFunctionStatement                       : 8830
LockKeyword                                  : 8337
LockStatement                                : 8818
LogicalAndExpression                         : 8676
LogicalNotExpression                         : 8733
LogicalOrExpression                          : 8675
LongKeyword                                  : 8311
MakeRefExpression                            : 8765
MakeRefKeyword                               : 8367
ManagedKeyword                               : 8445
MemberBindingExpression                      : 8707
MethodDeclaration                            : 8875
MethodKeyword                                : 8413
MinusEqualsToken                             : 8281
MinusGreaterThanToken                        : 8266
MinusMinusToken                              : 8262
MinusToken                                   : 8202
ModuleKeyword                                : 8410
ModuloAssignmentExpression                   : 8719
ModuloExpression                             : 8672
MultiLineCommentTrivia                       : 8542
MultiLineDocumentationCommentTrivia          : 8545
MultiLineRawStringLiteralToken               : 8519
MultiplyAssignmentExpression                 : 8717
MultiplyExpression                           : 8670
NameColon                                    : 8639
NameEquals                                   : 8852
NameMemberCref                               : 8599
NameOfKeyword                                : 8434
NamespaceDeclaration                         : 8842
NamespaceKeyword                             : 8372
NewKeyword                                   : 8354
None                                         : 0   
NotEqualsExpression                          : 8681
NotKeyword                                   : 8440
NotPattern                                   : 9033
NullableDirectiveTrivia                      : 9055
NullableKeyword                              : 8486
NullableType                                 : 8625
NullKeyword                                  : 8322
NullLiteralExpression                        : 8754
NumericLiteralExpression                     : 8749
NumericLiteralToken                          : 8509
ObjectCreationExpression                     : 8649
ObjectInitializerExpression                  : 8644
ObjectKeyword                                : 8319
OmittedArraySizeExpression                   : 8654
OmittedArraySizeExpressionToken              : 8493
OmittedTypeArgument                          : 8626
OmittedTypeArgumentToken                     : 8492
OnKeyword                                    : 8430
OpenBraceToken                               : 8205
OpenBracketToken                             : 8207
OpenParenToken                               : 8200
OperatorDeclaration                          : 8876
OperatorKeyword                              : 8382
OperatorMemberCref                           : 8601
OrAssignmentExpression                       : 8722
OrderByClause                                : 8781
OrderByKeyword                               : 8429
OrKeyword                                    : 8438
OrPattern                                    : 9031
OutKeyword                                   : 8361
OverrideKeyword                              : 8355
Parameter                                    : 8908
ParameterList                                : 8906
ParamKeyword                                 : 8414
ParamsKeyword                                : 8365
ParenthesizedExpression                      : 8632
ParenthesizedLambdaExpression                : 8643
ParenthesizedPattern                         : 9028
ParenthesizedVariableDesignation             : 8928
PartialKeyword                               : 8406
PercentEqualsToken                           : 8283
PercentToken                                 : 8196
PlusEqualsToken                              : 8280
PlusPlusToken                                : 8263
PlusToken                                    : 8203
PointerIndirectionExpression                 : 8736
PointerMemberAccessExpression                : 8690
PointerType                                  : 8624
PositionalPatternClause                      : 9023
PostDecrementExpression                      : 8739
PostIncrementExpression                      : 8738
PragmaChecksumDirectiveTrivia                : 8560
PragmaKeyword                                : 8476
PragmaWarningDirectiveTrivia                 : 8559
PreDecrementExpression                       : 8735
PredefinedType                               : 8621
PreIncrementExpression                       : 8734
PreprocessingMessageTrivia                   : 8547
PrimaryConstructorBaseType                   : 9065
PrivateKeyword                               : 8344
PropertyDeclaration                          : 8892
PropertyKeyword                              : 8415
PropertyPatternClause                        : 9021
ProtectedKeyword                             : 8346
PublicKeyword                                : 8343
QualifiedCref                                : 8598
QualifiedName                                : 8617
QueryBody                                    : 8775
QueryContinuation                            : 8786
QueryExpression                              : 8774
QuestionQuestionEqualsToken                  : 8284
QuestionQuestionToken                        : 8265
QuestionToken                                : 8219
RangeExpression                              : 8658
ReadOnlyKeyword                              : 8348
RecordDeclaration                            : 9063
RecordKeyword                                : 8444
RecordStructDeclaration                      : 9068
RecursivePattern                             : 9020
ReferenceDirectiveTrivia                     : 8561
ReferenceKeyword                             : 8481
RefExpression                                : 9050
RefKeyword                                   : 8360
RefType                                      : 9051
RefTypeExpression                            : 8767
RefTypeKeyword                               : 8368
RefValueExpression                           : 8766
RefValueKeyword                              : 8369
RegionDirectiveTrivia                        : 8552
RegionKeyword                                : 8469
RelationalPattern                            : 9029
RemoveAccessorDeclaration                    : 8899
RemoveKeyword                                : 8420
RequiredKeyword                              : 8447
RestoreKeyword                               : 8480
ReturnKeyword                                : 8341
ReturnStatement                              : 8805
RightShiftAssignmentExpression               : 8724
RightShiftExpression                         : 8674
SByteKeyword                                 : 8306
ScopedKeyword                                : 8448
ScopedType                                   : 9075
SealedKeyword                                : 8349
SelectClause                                 : 8784
SelectKeyword                                : 8428
SemicolonToken                               : 8212
SetAccessorDeclaration                       : 8897
SetKeyword                                   : 8418
ShebangDirectiveTrivia                       : 8922
ShortKeyword                                 : 8307
SimpleAssignmentExpression                   : 8714
SimpleBaseType                               : 8865
SimpleLambdaExpression                       : 8642
SimpleMemberAccessExpression                 : 8689
SingleLineCommentTrivia                      : 8541
SingleLineDocumentationCommentTrivia         : 8544
SingleLineRawStringLiteralToken              : 8518
SingleQuoteToken                             : 8214
SingleVariableDesignation                    : 8927
SizeOfExpression                             : 8761
SizeOfKeyword                                : 8321
SkippedTokensTrivia                          : 8563
SlashEqualsToken                             : 8276
SlashGreaterThanToken                        : 8232
SlashToken                                   : 8221
SlicePattern                                 : 9034
StackAllocArrayCreationExpression            : 8653
StackAllocKeyword                            : 8352
StaticKeyword                                : 8347
StringKeyword                                : 8316
StringLiteralExpression                      : 8750
StringLiteralToken                           : 8511
StructConstraint                             : 8869
StructDeclaration                            : 8856
StructKeyword                                : 8375
Subpattern                                   : 9022
SubtractAssignmentExpression                 : 8716
SubtractExpression                           : 8669
SuppressNullableWarningExpression            : 9054
SwitchExpression                             : 9025
SwitchExpressionArm                          : 9026
SwitchKeyword                                : 8331
SwitchSection                                : 8822
SwitchStatement                              : 8821
ThisConstructorInitializer                   : 8890
ThisExpression                               : 8746
ThisKeyword                                  : 8370
ThrowExpression                              : 9052
ThrowKeyword                                 : 8342
ThrowStatement                               : 8808
TildeToken                                   : 8193
TrueKeyword                                  : 8323
TrueLiteralExpression                        : 8752
TryKeyword                                   : 8334
TryStatement                                 : 8825
TupleElement                                 : 8925
TupleExpression                              : 8926
TupleType                                    : 8924
TypeArgumentList                             : 8619
TypeConstraint                               : 8870
TypeCref                                     : 8597
TypeKeyword                                  : 8411
TypeOfExpression                             : 8760
TypeOfKeyword                                : 8320
TypeParameter                                : 8910
TypeParameterConstraintClause                : 8866
TypeParameterList                            : 8909
TypePattern                                  : 9030
TypeVarKeyword                               : 8416
UIntKeyword                                  : 8310
ULongKeyword                                 : 8312
UnaryMinusExpression                         : 8731
UnaryPlusExpression                          : 8730
UncheckedExpression                          : 8763
UncheckedKeyword                             : 8380
UncheckedStatement                           : 8816
UndefDirectiveTrivia                         : 8555
UndefKeyword                                 : 8472
UnderscoreToken                              : 8491
UnknownAccessorDeclaration                   : 8900
UnmanagedKeyword                             : 8446
UnsafeKeyword                                : 8381
UnsafeStatement                              : 8817
UnsignedRightShiftAssignmentExpression       : 8726
UnsignedRightShiftExpression                 : 8692
UShortKeyword                                : 8308
UsingDirective                               : 8843
UsingKeyword                                 : 8373
UsingStatement                               : 8813
Utf8MultiLineRawStringLiteralToken           : 8522
Utf8SingleLineRawStringLiteralToken          : 8521
Utf8StringLiteralExpression                  : 8756
Utf8StringLiteralToken                       : 8520
VariableDeclaration                          : 8794
VariableDeclarator                           : 8795
VarKeyword                                   : 8490
VarPattern                                   : 9027
VirtualKeyword                               : 8357
VoidKeyword                                  : 8318
VolatileKeyword                              : 8353
WarningDirectiveTrivia                       : 8557
WarningKeyword                               : 8473
WarningsKeyword                              : 8488
WhenClause                                   : 9013
WhenKeyword                                  : 8437
WhereClause                                  : 8780
WhereKeyword                                 : 8421
WhileKeyword                                 : 8327
WhileStatement                               : 8809
WhitespaceTrivia                             : 8540
WithExpression                               : 9061
WithInitializerExpression                    : 9062
WithKeyword                                  : 8442
XmlCDataEndToken                             : 8237
XmlCDataSection                              : 8584
XmlCDataStartToken                           : 8236
XmlComment                                   : 8585
XmlCommentEndToken                           : 8235
XmlCommentStartToken                         : 8234
XmlCrefAttribute                             : 8579
XmlElement                                   : 8574
XmlElementEndTag                             : 8576
XmlElementStartTag                           : 8575
XmlEmptyElement                              : 8577
XmlEntityLiteralToken                        : 8512
XmlName                                      : 8581
XmlNameAttribute                             : 8580
XmlPrefix                                    : 8582
XmlProcessingInstruction                     : 8586
XmlProcessingInstructionEndToken             : 8239
XmlProcessingInstructionStartToken           : 8238
XmlText                                      : 8583
XmlTextAttribute                             : 8578
XmlTextLiteralNewLineToken                   : 8514
XmlTextLiteralToken                          : 8513
YieldBreakStatement                          : 8807
YieldKeyword                                 : 8405
YieldReturnStatement                         : 8806
